EmployeeID,Department,JobTitle,Shift,PayrollStatus
EMP0001,Material Handling,Engineer,C (22-06),Active
EMP0002,Material Handling,Senior Engineer,C (22-06),Active
EMP0003,Stores,Engineer,C (22-06),Active
EMP0004,Packing,Operator,C (22-06),Active
EMP0005,Packing,Engineer,C (22-06),Active
EMP0006,Production,Senior Engineer,C (22-06),Active
EMP0007,Welding,Supervisor,A (06-14),Active
EMP0008,Assembly,Senior Engineer,B (14-22),Active
EMP0009,Material Handling,Senior Engineer,C (22-06),Active
EMP0010,Stores,Operator,B (14-22),Active
EMP0011,Packing,Engineer,C (22-06),Active
EMP0012,Production,Technician,A (06-14),Active
EMP0013,Maintenance,Operator,C (22-06),Active
EMP0014,Assembly,Technician,A (06-14),Active
EMP0015,Material Handling,Senior Engineer,C (22-06),Active
EMP0016,Stores,Operator,A (06-14),Active
EMP0017,Material Handling,Supervisor,C (22-06),Active
EMP0018,Production,Engineer,A (06-14),Active
EMP0019,Production,Technician,C (22-06),Active
EMP0020,Assembly,Operator,B (14-22),Active
EMP0021,Quality,Senior Engineer,A (06-14),Active
EMP0022,Stores,Engineer,C (22-06),Active
EMP0023,Maintenance,Technician,C (22-06),Active
EMP0024,Material Handling,Operator,C (22-06),Active
EMP0025,Stores,Supervisor,A (06-14),Active
EMP0026,Production,Engineer,B (14-22),Active
EMP0027,Quality,Technician,A (06-14),Active
EMP0028,Stores,Technician,C (22-06),Active
EMP0029,Maintenance,Operator,B (14-22),Active
EMP0030,Welding,Technician,A (06-14),Active
EMP0031,Packing,Operator,C (22-06),Active
EMP0032,Packing,Senior Engineer,B (14-22),Active
EMP0033,Quality,Supervisor,C (22-06),Active
EMP0034,Maintenance,Operator,A (06-14),Active
EMP0035,Production,Supervisor,B (14-22),Active
EMP0036,Quality,Engineer,B (14-22),Active
EMP0037,Packing,Senior Engineer,B (14-22),Active
EMP0038,Welding,Supervisor,B (14-22),Active
EMP0039,Material Handling,Senior Engineer,C (22-06),Active
EMP0040,Quality,Senior Engineer,A (06-14),Active
EMP0041,Stores,Engineer,C (22-06),Active
EMP0042,Material Handling,Technician,C (22-06),Active
EMP0043,Material Handling,Operator,B (14-22),Active
EMP0044,Packing,Technician,C (22-06),Active
EMP0045,Maintenance,Operator,C (22-06),Active
EMP0046,Material Handling,Technician,B (14-22),Active
EMP0047,Packing,Supervisor,C (22-06),Active
EMP0048,Maintenance,Technician,B (14-22),Active
EMP0049,Assembly,Engineer,C (22-06),Active
EMP0050,Packing,Technician,C (22-06),Active
EMP0051,Assembly,Senior Engineer,A (06-14),Active
EMP0052,Stores,Engineer,A (06-14),Active
EMP0053,Stores,Technician,C (22-06),Active
EMP0054,Quality,Engineer,B (14-22),Active
EMP0055,Packing,Technician,A (06-14),Active
EMP0056,Production,Supervisor,C (22-06),Active
EMP0057,Packing,Supervisor,A (06-14),Active
EMP0058,Production,Technician,A (06-14),Active
EMP0059,Stores,Technician,C (22-06),Active
EMP0060,Production,Operator,C (22-06),Active
EMP0061,Material Handling,Technician,C (22-06),Active
EMP0062,Maintenance,Senior Engineer,A (06-14),Active
EMP0063,Maintenance,Supervisor,B (14-22),Active
EMP0064,Quality,Operator,B (14-22),Active
EMP0065,Packing,Supervisor,C (22-06),Active
EMP0066,Production,Operator,C (22-06),Active
EMP0067,Quality,Senior Engineer,B (14-22),Active
EMP0068,Maintenance,Operator,C (22-06),Active
EMP0069,Assembly,Technician,B (14-22),Active
EMP0070,Material Handling,Engineer,B (14-22),Active
EMP0071,Material Handling,Operator,B (14-22),Active
EMP0072,Quality,Operator,C (22-06),Active
EMP0073,Material Handling,Senior Engineer,B (14-22),Active
EMP0074,Packing,Operator,B (14-22),Active
EMP0075,Assembly,Senior Engineer,A (06-14),Active
EMP0076,Assembly,Supervisor,A (06-14),Active
EMP0077,Maintenance,Technician,B (14-22),Active
EMP0078,Quality,Supervisor,A (06-14),Active
EMP0079,Packing,Supervisor,B (14-22),Active
EMP0080,Quality,Senior Engineer,C (22-06),Active
EMP0081,Quality,Supervisor,A (06-14),Active
EMP0082,Material Handling,Engineer,B (14-22),Active
EMP0083,Production,Senior Engineer,B (14-22),Active
EMP0084,Quality,Supervisor,B (14-22),Active
EMP0085,Quality,Senior Engineer,B (14-22),Active
EMP0086,Stores,Technician,C (22-06),Active
EMP0087,Welding,Operator,A (06-14),Active
EMP0088,Maintenance,Technician,B (14-22),Active
EMP0089,Assembly,Technician,C (22-06),Active
EMP0090,Packing,Supervisor,C (22-06),Active
EMP0091,Quality,Engineer,A (06-14),Active
EMP0092,Production,Engineer,C (22-06),Active
EMP0093,Material Handling,Operator,C (22-06),Active
EMP0094,Welding,Operator,C (22-06),Active
EMP0095,Production,Senior Engineer,B (14-22),Active
EMP0096,Stores,Senior Engineer,B (14-22),Active
EMP0097,Welding,Operator,C (22-06),Active
EMP0098,Packing,Supervisor,B (14-22),Active
EMP0099,Packing,Senior Engineer,A (06-14),Active
EMP0100,Packing,Engineer,A (06-14),Active
EMP0101,Maintenance,Technician,A (06-14),Active
EMP0102,Stores,Senior Engineer,A (06-14),Active
EMP0103,Production,Technician,C (22-06),Active
EMP0104,Material Handling,Technician,C (22-06),Active
EMP0105,Welding,Technician,C (22-06),Active
EMP0106,Welding,Senior Engineer,C (22-06),Active
EMP0107,Assembly,Operator,C (22-06),Active
EMP0108,Welding,Senior Engineer,A (06-14),Active
EMP0109,Assembly,Senior Engineer,C (22-06),Active
EMP0110,Stores,Supervisor,C (22-06),Active
EMP0111,Welding,Engineer,B (14-22),Active
EMP0112,Material Handling,Operator,B (14-22),Active
EMP0113,Assembly,Senior Engineer,B (14-22),Active
EMP0114,Assembly,Operator,A (06-14),Active
EMP0115,Quality,Technician,C (22-06),Active
EMP0116,Packing,Operator,B (14-22),Active
EMP0117,Material Handling,Operator,C (22-06),Active
EMP0118,Welding,Senior Engineer,C (22-06),Active
EMP0119,Quality,Supervisor,C (22-06),Active
EMP0120,Packing,Technician,B (14-22),Active
EMP0121,Assembly,Senior Engineer,B (14-22),Active
EMP0122,Assembly,Engineer,B (14-22),Active
EMP0123,Welding,Engineer,A (06-14),Active
EMP0124,Welding,Supervisor,C (22-06),Active
EMP0125,Packing,Operator,B (14-22),Active
EMP0126,Welding,Operator,C (22-06),Active
EMP0127,Maintenance,Engineer,A (06-14),Active
EMP0128,Packing,Senior Engineer,A (06-14),Active
EMP0129,Welding,Senior Engineer,B (14-22),Active
EMP0130,Quality,Operator,C (22-06),Active
EMP0131,Assembly,Engineer,B (14-22),Active
EMP0132,Welding,Supervisor,C (22-06),Active
EMP0133,Assembly,Technician,A (06-14),Active
EMP0134,Quality,Engineer,A (06-14),Active
EMP0135,Welding,Engineer,A (06-14),Active
EMP0136,Maintenance,Engineer,B (14-22),Active
EMP0137,Quality,Operator,A (06-14),Active
EMP0138,Production,Technician,B (14-22),Active
EMP0139,Assembly,Engineer,B (14-22),Active
EMP0140,Welding,Supervisor,C (22-06),Active
EMP0141,Quality,Senior Engineer,A (06-14),Active
EMP0142,Welding,Technician,C (22-06),Active
EMP0143,Material Handling,Supervisor,C (22-06),Active
EMP0144,Assembly,Engineer,C (22-06),Active
EMP0145,Stores,Technician,C (22-06),Active
EMP0146,Maintenance,Engineer,B (14-22),Active
EMP0147,Assembly,Technician,A (06-14),Active
EMP0148,Welding,Technician,B (14-22),Active
EMP0149,Packing,Supervisor,C (22-06),Active
EMP0150,Assembly,Technician,C (22-06),Active
EMP0151,Maintenance,Engineer,A (06-14),Active
EMP0152,Maintenance,Operator,C (22-06),Active
EMP0153,Maintenance,Operator,A (06-14),Active
EMP0154,Maintenance,Engineer,B (14-22),Active
EMP0155,Packing,Supervisor,C (22-06),Active
EMP0156,Material Handling,Supervisor,C (22-06),Active
EMP0157,Material Handling,Senior Engineer,C (22-06),Active
EMP0158,Quality,Senior Engineer,C (22-06),Active
EMP0159,Material Handling,Operator,C (22-06),Active
EMP0160,Production,Technician,B (14-22),Active
EMP0161,Material Handling,Supervisor,C (22-06),Active
EMP0162,Material Handling,Senior Engineer,B (14-22),Active
EMP0163,Packing,Operator,A (06-14),Active
EMP0164,Quality,Supervisor,B (14-22),Active
EMP0165,Assembly,Technician,B (14-22),Active
EMP0166,Production,Technician,A (06-14),Active
EMP0167,Assembly,Engineer,B (14-22),Active
EMP0168,Production,Supervisor,C (22-06),Active
EMP0169,Production,Supervisor,C (22-06),Active
EMP0170,Assembly,Operator,B (14-22),Active
EMP0171,Welding,Supervisor,A (06-14),Active
EMP0172,Material Handling,Engineer,C (22-06),Active
EMP0173,Material Handling,Supervisor,C (22-06),Active
EMP0174,Welding,Operator,C (22-06),Active
EMP0175,Stores,Supervisor,A (06-14),Active
EMP0176,Material Handling,Senior Engineer,B (14-22),Active
EMP0177,Stores,Engineer,C (22-06),Active
EMP0178,Production,Engineer,C (22-06),Active
EMP0179,Quality,Operator,A (06-14),Active
EMP0180,Assembly,Operator,B (14-22),Active
EMP0181,Packing,Engineer,C (22-06),Active
EMP0182,Maintenance,Supervisor,B (14-22),Active
EMP0183,Quality,Engineer,B (14-22),Active
EMP0184,Quality,Supervisor,C (22-06),Active
EMP0185,Production,Engineer,C (22-06),Active
EMP0186,Maintenance,Supervisor,A (06-14),Active
EMP0187,Welding,Engineer,C (22-06),Active
EMP0188,Packing,Technician,A (06-14),Active
EMP0189,Production,Operator,B (14-22),Active
EMP0190,Maintenance,Operator,B (14-22),Active
EMP0191,Packing,Technician,C (22-06),Active
EMP0192,Quality,Operator,C (22-06),Active
EMP0193,Maintenance,Engineer,A (06-14),Active
EMP0194,Quality,Engineer,B (14-22),Active
EMP0195,Quality,Supervisor,A (06-14),Active
EMP0196,Production,Operator,B (14-22),Active
EMP0197,Assembly,Technician,C (22-06),Active
EMP0198,Maintenance,Operator,C (22-06),Active
EMP0199,Stores,Engineer,C (22-06),Active
EMP0200,Welding,Senior Engineer,B (14-22),Active
EMP0001,Material Handling,Engineer,C (22-06),Active
EMP0002,Material Handling,Senior Engineer,C (22-06),Active
EMP0003,Stores,Engineer,C (22-06),Active
EMP0004,Packing,Operator,C (22-06),Active
EMP0005,Packing,Engineer,C (22-06),Active
EMP0006,Production,Senior Engineer,C (22-06),Active
EMP0007,Welding,Supervisor,A (06-14),Active
EMP0008,Assembly,Senior Engineer,B (14-22),Active
EMP0009,Material Handling,Senior Engineer,C (22-06),Active
EMP0010,Stores,Operator,B (14-22),Active
EMP0011,Packing,Engineer,C (22-06),Active
EMP0012,Production,Technician,A (06-14),Active
EMP0013,Maintenance,Operator,C (22-06),Active
EMP0014,Assembly,Technician,A (06-14),Active
EMP0015,Material Handling,Senior Engineer,C (22-06),Active
EMP0016,Stores,Operator,A (06-14),Active
EMP0017,Material Handling,Supervisor,C (22-06),Active
EMP0018,Production,Engineer,A (06-14),Active
EMP0019,Production,Technician,C (22-06),Active
EMP0020,Assembly,Operator,B (14-22),Active
EMP0021,Quality,Senior Engineer,A (06-14),Active
EMP0022,Stores,Engineer,C (22-06),Active
EMP0023,Maintenance,Technician,C (22-06),Active
EMP0024,Material Handling,Operator,C (22-06),Active
EMP0025,Stores,Supervisor,A (06-14),Active
EMP0026,Production,Engineer,B (14-22),Active
EMP0027,Quality,Technician,A (06-14),Active
EMP0028,Stores,Technician,C (22-06),Active
EMP0029,Maintenance,Operator,B (14-22),Active
EMP0030,Welding,Technician,A (06-14),Active
EMP0031,Packing,Operator,C (22-06),Active
EMP0032,Packing,Senior Engineer,B (14-22),Active
EMP0033,Quality,Supervisor,C (22-06),Active
EMP0034,Maintenance,Operator,A (06-14),Active
EMP0035,Production,Supervisor,B (14-22),Active
EMP0036,Quality,Engineer,B (14-22),Active
EMP0037,Packing,Senior Engineer,B (14-22),Active
EMP0038,Welding,Supervisor,B (14-22),Active
EMP0039,Material Handling,Senior Engineer,C (22-06),Active
EMP0040,Quality,Senior Engineer,A (06-14),Active
EMP0041,Stores,Engineer,C (22-06),Active
EMP0042,Material Handling,Technician,C (22-06),Active
EMP0043,Material Handling,Operator,B (14-22),Active
EMP0044,Packing,Technician,C (22-06),Active
EMP0045,Maintenance,Operator,C (22-06),Active
EMP0046,Material Handling,Technician,B (14-22),Active
EMP0047,Packing,Supervisor,C (22-06),Active
EMP0048,Maintenance,Technician,B (14-22),Active
EMP0049,Assembly,Engineer,C (22-06),Active
EMP0050,Packing,Technician,C (22-06),Active
EMP0051,Assembly,Senior Engineer,A (06-14),Active
EMP0052,Stores,Engineer,A (06-14),Active
EMP0053,Stores,Technician,C (22-06),Active
EMP0054,Quality,Engineer,B (14-22),Active
EMP0055,Packing,Technician,A (06-14),Active
EMP0056,Production,Supervisor,C (22-06),Active
EMP0057,Packing,Supervisor,A (06-14),Active
EMP0058,Production,Technician,A (06-14),Active
EMP0059,Stores,Technician,C (22-06),Active
EMP0060,Production,Operator,C (22-06),Active
EMP0061,Material Handling,Technician,C (22-06),Active
EMP0062,Maintenance,Senior Engineer,A (06-14),Active
EMP0063,Maintenance,Supervisor,B (14-22),Active
EMP0064,Quality,Operator,B (14-22),Active
EMP0065,Packing,Supervisor,C (22-06),Active
EMP0066,Production,Operator,C (22-06),Active
EMP0067,Quality,Senior Engineer,B (14-22),Active
EMP0068,Maintenance,Operator,C (22-06),Active
EMP0069,Assembly,Technician,B (14-22),Active
EMP0070,Material Handling,Engineer,B (14-22),Active
EMP0071,Material Handling,Operator,B (14-22),Active
EMP0072,Quality,Operator,C (22-06),Active
EMP0073,Material Handling,Senior Engineer,B (14-22),Active
EMP0074,Packing,Operator,B (14-22),Active
EMP0075,Assembly,Senior Engineer,A (06-14),Active
EMP0076,Assembly,Supervisor,A (06-14),Active
EMP0077,Maintenance,Technician,B (14-22),Active
EMP0078,Quality,Supervisor,A (06-14),Active
EMP0079,Packing,Supervisor,B (14-22),Active
EMP0080,Quality,Senior Engineer,C (22-06),Active
EMP0081,Quality,Supervisor,A (06-14),Active
EMP0082,Material Handling,Engineer,B (14-22),Active
EMP0083,Production,Senior Engineer,B (14-22),Active
EMP0084,Quality,Supervisor,B (14-22),Active
EMP0085,Quality,Senior Engineer,B (14-22),Active
EMP0086,Stores,Technician,C (22-06),Active
EMP0087,Welding,Operator,A (06-14),Active
EMP0088,Maintenance,Technician,B (14-22),Active
EMP0089,Assembly,Technician,C (22-06),Active
EMP0090,Packing,Supervisor,C (22-06),Active
EMP0091,Quality,Engineer,A (06-14),Active
EMP0092,Production,Engineer,C (22-06),Active
EMP0093,Material Handling,Operator,C (22-06),Active
EMP0094,Welding,Operator,C (22-06),Active
EMP0095,Production,Senior Engineer,B (14-22),Active
EMP0096,Stores,Senior Engineer,B (14-22),Active
EMP0097,Welding,Operator,C (22-06),Active
EMP0098,Packing,Supervisor,B (14-22),Active
EMP0099,Packing,Senior Engineer,A (06-14),Active
EMP0100,Packing,Engineer,A (06-14),Active
EMP0101,Maintenance,Technician,A (06-14),Active
EMP0102,Stores,Senior Engineer,A (06-14),Active
EMP0103,Production,Technician,C (22-06),Active
EMP0104,Material Handling,Technician,C (22-06),Active
EMP0105,Welding,Technician,C (22-06),Active
EMP0106,Welding,Senior Engineer,C (22-06),Active
EMP0107,Assembly,Operator,C (22-06),Active
EMP0108,Welding,Senior Engineer,A (06-14),Active
EMP0109,Assembly,Senior Engineer,C (22-06),Active
EMP0110,Stores,Supervisor,C (22-06),Active
EMP0111,Welding,Engineer,B (14-22),Active
EMP0112,Material Handling,Operator,B (14-22),Active
EMP0113,Assembly,Senior Engineer,B (14-22),Active
EMP0114,Assembly,Operator,A (06-14),Active
EMP0115,Quality,Technician,C (22-06),Active
EMP0116,Packing,Operator,B (14-22),Active
EMP0117,Material Handling,Operator,C (22-06),Active
EMP0118,Welding,Senior Engineer,C (22-06),Active
EMP0119,Quality,Supervisor,C (22-06),Active
EMP0120,Packing,Technician,B (14-22),Active
EMP0121,Assembly,Senior Engineer,B (14-22),Active
EMP0122,Assembly,Engineer,B (14-22),Active
EMP0123,Welding,Engineer,A (06-14),Active
EMP0124,Welding,Supervisor,C (22-06),Active
EMP0125,Packing,Operator,B (14-22),Active
EMP0126,Welding,Operator,C (22-06),Active
EMP0127,Maintenance,Engineer,A (06-14),Active
EMP0128,Packing,Senior Engineer,A (06-14),Active
EMP0129,Welding,Senior Engineer,B (14-22),Active
EMP0130,Quality,Operator,C (22-06),Active
EMP0131,Assembly,Engineer,B (14-22),Active
EMP0132,Welding,Supervisor,C (22-06),Active
EMP0133,Assembly,Technician,A (06-14),Active
EMP0134,Quality,Engineer,A (06-14),Active
EMP0135,Welding,Engineer,A (06-14),Active
EMP0136,Maintenance,Engineer,B (14-22),Active
EMP0137,Quality,Operator,A (06-14),Active
EMP0138,Production,Technician,B (14-22),Active
EMP0139,Assembly,Engineer,B (14-22),Active
EMP0140,Welding,Supervisor,C (22-06),Active
EMP0141,Quality,Senior Engineer,A (06-14),Active
EMP0142,Welding,Technician,C (22-06),Active
EMP0143,Material Handling,Supervisor,C (22-06),Active
EMP0144,Assembly,Engineer,C (22-06),Active
EMP0145,Stores,Technician,C (22-06),Active
EMP0146,Maintenance,Engineer,B (14-22),Active
EMP0147,Assembly,Technician,A (06-14),Active
EMP0148,Welding,Technician,B (14-22),Active
EMP0149,Packing,Supervisor,C (22-06),Active
EMP0150,Assembly,Technician,C (22-06),Active
EMP0151,Maintenance,Engineer,A (06-14),Active
EMP0152,Maintenance,Operator,C (22-06),Active
EMP0153,Maintenance,Operator,A (06-14),Active
EMP0154,Maintenance,Engineer,B (14-22),Active
EMP0155,Packing,Supervisor,C (22-06),Active
EMP0156,Material Handling,Supervisor,C (22-06),Active
EMP0157,Material Handling,Senior Engineer,C (22-06),Active
EMP0158,Quality,Senior Engineer,C (22-06),Active
EMP0159,Material Handling,Operator,C (22-06),Active
EMP0160,Production,Technician,B (14-22),Active
EMP0161,Material Handling,Supervisor,C (22-06),Active
EMP0162,Material Handling,Senior Engineer,B (14-22),Active
EMP0163,Packing,Operator,A (06-14),Active
EMP0164,Quality,Supervisor,B (14-22),Active
EMP0165,Assembly,Technician,B (14-22),Active
EMP0166,Production,Technician,A (06-14),Active
EMP0167,Assembly,Engineer,B (14-22),Active
EMP0168,Production,Supervisor,C (22-06),Active
EMP0169,Production,Supervisor,C (22-06),Active
EMP0170,Assembly,Operator,B (14-22),Active
EMP0171,Welding,Supervisor,A (06-14),Active
EMP0172,Material Handling,Engineer,C (22-06),Active
EMP0173,Material Handling,Supervisor,C (22-06),Active
EMP0174,Welding,Operator,C (22-06),Active
EMP0175,Stores,Supervisor,A (06-14),Active
EMP0176,Material Handling,Senior Engineer,B (14-22),Active
EMP0177,Stores,Engineer,C (22-06),Active
EMP0178,Production,Engineer,C (22-06),Active
EMP0179,Quality,Operator,A (06-14),Active
EMP0180,Assembly,Operator,B (14-22),Active
EMP0181,Packing,Engineer,C (22-06),Active
EMP0182,Maintenance,Supervisor,B (14-22),Active
EMP0183,Quality,Engineer,B (14-22),Active
EMP0184,Quality,Supervisor,C (22-06),Active
EMP0185,Production,Engineer,C (22-06),Active
EMP0186,Maintenance,Supervisor,A (06-14),Active
EMP0187,Welding,Engineer,C (22-06),Active
EMP0188,Packing,Technician,A (06-14),Active
EMP0189,Production,Operator,B (14-22),Active
EMP0190,Maintenance,Operator,B (14-22),Active
EMP0191,Packing,Technician,C (22-06),Active
EMP0192,Quality,Operator,C (22-06),Active
EMP0193,Maintenance,Engineer,A (06-14),Active
EMP0194,Quality,Engineer,B (14-22),Active
EMP0195,Quality,Supervisor,A (06-14),Active
EMP0196,Production,Operator,B (14-22),Active
EMP0197,Assembly,Technician,C (22-06),Active
EMP0198,Maintenance,Operator,C (22-06),Active
EMP0199,Stores,Engineer,C (22-06),Active
EMP0200,Welding,Senior Engineer,B (14-22),Active
