IncidentID,ObservationID,IncidentType,InjuryType,Description,ImmediateActions,CorrectiveActions,ActionOwner,ActionClosedDate,InsuranceClaim
INC0001,OBS00359,Property Damage,,Material fell from overhead rack narrowly missing worker.,Machine stopped and electrical panel isolated.,Schedule maintenance and reinforce safety procedures.,EMP0036,2024-06-07 00:00:00,False
INC0002,OBS00492,Major,Fracture,Compressed air hose burst causing loud impact noise.,Emergency stop activated and supervisor notified.,Introduce lifting training and mechanical aids.,EMP0123,2024-06-02 00:00:00,False
INC0003,OBS00102,Moderate,Cut,Operator slipped on coolant spill near CNC machine.,Machine stopped and electrical panel isolated.,Enhance ventilation and label chemical containers.,EMP0120,2024-12-07 00:00:00,True
INC0004,OBS00434,Major,Cut,Electrical short circuit occurred at press machine.,Machine stopped and electrical panel isolated.,Enhance ventilation and label chemical containers.,EMP0120,2024-02-24 00:00:00,False
INC0005,OBS00442,First Aid,Strain,Hot metal fragment flew during grinding operation.,Emergency stop activated and supervisor notified.,Conduct RCA and retrain operators.,EMP0016,2024-12-01 00:00:00,True
INC0006,OBS00469,First Aid,Fracture,Forklift collided with pallet stack while reversing.,Spill cleaned and anti-slip signs placed.,Improve housekeeping and regular inspection.,EMP0153,2024-07-02 00:00:00,True
INC0007,OBS00017,First Aid,,Material fell from overhead rack narrowly missing worker.,Emergency stop activated and supervisor notified.,Install guards and update SOP.,EMP0088,2024-04-06 00:00:00,False
INC0008,OBS00384,Major,Burn,Operator slipped on coolant spill near CNC machine.,Machine stopped and electrical panel isolated.,Install guards and update SOP.,EMP0161,2024-10-16 00:00:00,True
INC0009,OBS00177,Major,Strain,Forklift collided with pallet stack while reversing.,First aid provided and area secured.,Install guards and update SOP.,EMP0139,2024-06-11 00:00:00,False
INC0010,OBS00367,Major,Cut,Hand got pinched while adjusting conveyor guard.,Emergency stop activated and supervisor notified.,Introduce lifting training and mechanical aids.,EMP0120,2024-05-28 00:00:00,True
INC0011,OBS00092,Property Damage,Fracture,Chemical fumes inhaled due to improper ventilation.,Forklift halted and area barricaded.,Introduce lifting training and mechanical aids.,EMP0026,2024-04-19 00:00:00,False
INC0012,OBS00078,Major,Strain,Compressed air hose burst causing loud impact noise.,Emergency stop activated and supervisor notified.,Conduct RCA and retrain operators.,EMP0106,2024-12-13 00:00:00,True
INC0013,OBS00023,Moderate,Cut,Operator experienced strain while lifting heavy load.,Machine stopped and electrical panel isolated.,Schedule maintenance and reinforce safety procedures.,EMP0061,2024-06-04 00:00:00,False
INC0014,OBS00182,Major,Cut,Hot metal fragment flew during grinding operation.,Forklift halted and area barricaded.,Introduce lifting training and mechanical aids.,EMP0012,2024-10-16 00:00:00,True
INC0015,OBS00185,Moderate,Cut,Compressed air hose burst causing loud impact noise.,Operator moved to fresh air and assessed by medical.,Improve housekeeping and regular inspection.,EMP0049,2024-08-04 00:00:00,False
INC0016,OBS00334,First Aid,Fracture,Operator experienced strain while lifting heavy load.,Emergency stop activated and supervisor notified.,Enhance ventilation and label chemical containers.,EMP0100,2024-02-12 00:00:00,False
INC0017,OBS00038,Major,,Forklift collided with pallet stack while reversing.,First aid provided and area secured.,Improve housekeeping and regular inspection.,EMP0191,2024-08-29 00:00:00,False
INC0018,OBS00099,Property Damage,Burn,Electrical short circuit occurred at press machine.,First aid provided and area secured.,Improve housekeeping and regular inspection.,EMP0085,2024-08-12 00:00:00,True
INC0019,OBS00455,Property Damage,,Hot metal fragment flew during grinding operation.,Forklift halted and area barricaded.,Install guards and update SOP.,EMP0156,2024-01-10 00:00:00,True
INC0020,OBS00439,First Aid,,Chemical fumes inhaled due to improper ventilation.,Machine stopped and electrical panel isolated.,Improve housekeeping and regular inspection.,EMP0020,2024-05-08 00:00:00,True
INC0021,OBS00406,Property Damage,Fracture,Material fell from overhead rack narrowly missing worker.,Machine stopped and electrical panel isolated.,Conduct RCA and retrain operators.,EMP0111,2024-09-03 00:00:00,False
INC0022,OBS00231,Major,Burn,Compressed air hose burst causing loud impact noise.,Spill cleaned and anti-slip signs placed.,Conduct RCA and retrain operators.,EMP0110,2024-03-22 00:00:00,True
INC0023,OBS00317,Major,Cut,Hot metal fragment flew during grinding operation.,Forklift halted and area barricaded.,Schedule maintenance and reinforce safety procedures.,EMP0038,2024-09-24 00:00:00,True
INC0024,OBS00146,Major,Cut,Welding spark ignited small cloth fragment.,Machine stopped and electrical panel isolated.,Enhance ventilation and label chemical containers.,EMP0133,2024-05-07 00:00:00,False
INC0025,OBS00498,Moderate,Strain,Welding spark ignited small cloth fragment.,Forklift halted and area barricaded.,Improve housekeeping and regular inspection.,EMP0076,2024-06-18 00:00:00,False
INC0026,OBS00084,Moderate,,Electrical short circuit occurred at press machine.,Spill cleaned and anti-slip signs placed.,Introduce lifting training and mechanical aids.,EMP0134,2024-06-27 00:00:00,True
INC0027,OBS00370,Property Damage,Cut,Material fell from overhead rack narrowly missing worker.,Forklift halted and area barricaded.,Install guards and update SOP.,EMP0163,2024-04-14 00:00:00,True
INC0028,OBS00443,Moderate,Strain,Welding spark ignited small cloth fragment.,Operator moved to fresh air and assessed by medical.,Improve housekeeping and regular inspection.,EMP0020,2024-11-30 00:00:00,False
INC0029,OBS00349,Property Damage,Cut,Forklift collided with pallet stack while reversing.,Machine stopped and electrical panel isolated.,Improve housekeeping and regular inspection.,EMP0075,2024-10-18 00:00:00,True
INC0030,OBS00052,Major,Cut,Hand got pinched while adjusting conveyor guard.,Machine stopped and electrical panel isolated.,Schedule maintenance and reinforce safety procedures.,EMP0100,2024-06-14 00:00:00,False
INC0031,OBS00037,Property Damage,Burn,Hot metal fragment flew during grinding operation.,First aid provided and area secured.,Schedule maintenance and reinforce safety procedures.,EMP0074,2024-08-06 00:00:00,True
INC0032,OBS00495,First Aid,Strain,Welding spark ignited small cloth fragment.,First aid provided and area secured.,Introduce lifting training and mechanical aids.,EMP0041,2024-04-06 00:00:00,False
INC0033,OBS00418,Moderate,Burn,Hot metal fragment flew during grinding operation.,First aid provided and area secured.,Conduct RCA and retrain operators.,EMP0016,2024-10-23 00:00:00,True
INC0034,OBS00330,First Aid,,Chemical fumes inhaled due to improper ventilation.,First aid provided and area secured.,Introduce lifting training and mechanical aids.,EMP0070,2024-01-04 00:00:00,False
INC0035,OBS00416,Major,Strain,Operator experienced strain while lifting heavy load.,Emergency stop activated and supervisor notified.,Schedule maintenance and reinforce safety procedures.,EMP0062,2024-08-05 00:00:00,True
